"ID","N","gap","Length_before","Length_after","Year","cluster"
"AB009663",0,1,1354,1353,1997,NA
"AB010494",0,1,1354,1353,1998,NA
"AB044824",0,1,1354,1353,2000,NA
"AB069973",0,1,1354,1353,2002,"Cosmopolitan_A1.1"
"AB085828",0,1,1354,1353,2003,"Cosmopolitan_A1.2"
"AB128149",0,1,1354,1353,2003,NA
"AB178891",0,1,1354,1353,2004,NA
"AB206411",0,22,1354,1332,2005,"C1.1"
"AB839169",0,1,1354,1353,2013,"Cosmopolitan_A1.2"
"AB839170",0,1,1354,1353,2013,"Cosmopolitan_A1.2"
"AF045664",0,4,1354,1350,1998,"B1.2"
"AF155039",0,1,1354,1353,1999,NA
"AY854593",0,1,1354,1353,2005,"B1.1"
"D16331",0,1,1354,1353,1993,NA
"D42112",0,1,1354,1353,1994,"Cosmopolitan_A1.1.1"
"DQ099524",0,1,1354,1353,2005,"Cosmopolitan_A1.2"
"DQ099525",0,1,1354,1353,2005,"Cosmopolitan_A1.1"
"DQ149104",0,19,1354,1335,2005,"C1.2"
"DQ286762",0,1,1354,1353,2005,"Cosmopolitan_A1.1.1"
"DQ666322",0,1,1354,1353,2006,"Cosmopolitan_A1.1"
"DQ875050",0,1,1354,1353,2006,"Cosmopolitan_A1.1.1"
"DQ875051",0,1,1354,1353,2006,NA
"EF152234",0,19,1354,1335,2006,"C1.1.1"
"EF152257",0,19,1354,1335,2006,"C1.3"
"EF152267",0,19,1354,1335,2006,"C1.2"
"EF152271",0,19,1354,1335,2006,"C1"
"EF194161",0,19,1354,1335,2007,"C1.1.1"
"EF542830",0,1,1354,1353,2008,"A1"
"EU282381",0,1,1354,1353,2007,"Cosmopolitan_A1.2"
"FJ228494",0,4,1354,1350,2007,"B1.1.4"
"FJ228495",0,4,1354,1350,2004,"H1"
"FJ228496",0,4,1354,1350,2006,"H1"
"FJ228497",0,4,1354,1350,2006,"H1"
"FJ228498",2,4,1354,1348,2004,"B1.1.5"
"FJ228499",1,4,1354,1349,2004,"B1.1.5"
"FJ228500",0,4,1354,1350,2005,"B1.1.5"
"FJ228501",0,4,1354,1350,2004,"B1.1"
"FJ228534",0,4,1354,1350,1939,"Cosmopolitan_A1.2"
"FJ228535",0,4,1354,1350,1950,"Cosmopolitan_A1"
"FJ228536",0,4,1354,1350,2007,"Cosmopolitan_A1"
"FJ228537",0,4,1354,1350,1994,"Cosmopolitan_A1"
"FJ228538",0,4,1354,1350,2007,"Cosmopolitan_A1"
"FJ228539",0,4,1354,1350,1954,"Cosmopolitan_A1"
"FJ228543",0,4,1354,1350,2007,"B1.1"
"FJ228544",0,4,1354,1350,2001,"B1.1"
"FJ228545",0,4,1354,1350,2000,"B1.1"
"FJ561729",0,1,1354,1353,2008,NA
"FJ561730",0,1,1354,1353,2008,NA
"FJ561731",0,1,1354,1353,2008,NA
"FJ561732",0,1,1354,1353,2008,NA
"FJ577895",0,1,1354,1353,2009,"Cosmopolitan_A1.2"
"GQ412744",0,1,1354,1353,1931,NA
"GQ918139",0,1,1354,1353,2010,"Cosmopolitan_A1.1.1"
"GU565703",0,1,1354,1353,1948,"Cosmopolitan_A1.2"
"GU565704",0,1,1354,1353,1948,"Cosmopolitan_A1.2"
"GU992318",0,1,1354,1353,1997,NA
"GU992321",0,1,1354,1353,1988,"Cosmopolitan_A1.1.1"
"GU992323",0,1,1354,1353,1976,"Cosmopolitan_A1.1"
